Region,YearMonth,T2M,PRECTOTCORR,WS2M,RH2M
Singida,2015-02-01,22.34607142857143,78.35,1.9017857142857142,67.97214285714286
Singida,2015-03-01,22.016774193548386,56.93,2.916129032258065,67.32451612903226
Singida,2015-04-01,21.14966666666667,145.09,2.277,75.071
Singida,2015-05-01,19.97258064516129,52.83,3.3329032258064513,73.38483870967741
Singida,2015-06-01,19.730666666666664,0.89,2.8753333333333333,61.46566666666667
Singida,2015-07-01,19.49774193548387,1.21,3.5283870967741935,60.08322580645161
Singida,2015-08-01,20.312903225806455,0.39,3.9761290322580645,55.38645161290323
Singida,2015-09-01,22.382,0.84,4.293333333333334,49.153999999999996
Singida,2015-10-01,24.113225806451613,20.15,4.295806451612902,52.009354838709676
Singida,2015-11-01,22.555999999999997,132.71,3.092,66.47566666666667
Singida,2015-12-01,21.86,243.88,2.0929032258064515,73.9674193548387
Singida,2016-01-01,20.98709677419355,338.65,1.7593548387096773,81.14258064516129
Singida,2016-02-01,21.156896551724138,132.28,1.680344827586207,80.39137931034483
Singida,2016-03-01,21.995483870967742,185.2,1.9083870967741934,79.6832258064516
Singida,2016-04-01,20.124000000000002,312.32,2.6723333333333334,86.62100000000001
Singida,2016-05-01,17.86,10.09,2.7516129032258063,81.42870967741935
Singida,2016-06-01,17.224,2.97,3.102333333333333,77.67966666666666
Singida,2016-07-01,16.741290322580646,1.08,3.104516129032258,71.30612903225806
Singida,2016-08-01,18.575161290322583,0.43,3.913870967741935,62.94193548387097
Singida,2016-09-01,20.509999999999998,1.1,3.9383333333333335,56.787666666666674
Singida,2016-10-01,22.462903225806453,5.68,3.849032258064516,52.20322580645161
Singida,2016-11-01,23.468666666666664,27.51,3.689,55.967666666666666
Singida,2016-12-01,23.101290322580645,59.87,3.0180645161290323,61.19483870967742
Singida,2017-01-01,23.14774193548387,117.31,2.135483870967742,59.21774193548387
Singida,2017-02-01,21.596785714285716,233.78,2.168214285714286,71.95821428571428
Singida,2017-03-01,20.131612903225808,189.52,1.8783870967741934,84.30516129032259
Singida,2017-04-01,20.517666666666667,80.51,3.3103333333333333,77.38033333333333
Singida,2017-05-01,19.725161290322582,47.480000000000004,3.667741935483871,75.25322580645161
Singida,2017-06-01,19.538999999999998,2.12,3.614,66.14066666666666
Singida,2017-07-01,18.789677419354838,2.15,3.4835483870967745,62.965161290322584
Singida,2017-08-01,20.318064516129034,5.7,4.049677419354839,59.961612903225806
Singida,2017-09-01,21.78533333333333,1.3,4.0793333333333335,52.925666666666665
Singida,2017-10-01,23.886451612903226,19.14,3.951290322580645,51.26096774193548
Singida,2017-11-01,22.747333333333334,95.12,3.51,63.537
Singida,2017-12-01,22.79612903225806,138.19,2.5280645161290325,66.13193548387098
Singida,2018-01-01,19.73548387096774,344.76,1.5496774193548386,82.35225806451614
Singida,2018-02-01,21.9775,160.03,2.311071428571428,70.44964285714285
Singida,2018-03-01,19.616774193548387,244.2,2.1919354838709677,85.57000000000001
Singida,2018-04-01,19.274,322.09,2.4193333333333333,85.45333333333333
Singida,2018-05-01,18.608064516129033,67.97,3.113548387096774,82.68290322580646
Singida,2018-06-01,17.070666666666668,4.65,2.9396666666666667,76.977
Singida,2018-07-01,17.065161290322582,1.93,3.6029032258064517,73.03516129032259
Singida,2018-08-01,18.82774193548387,1.4300000000000002,3.667741935483871,64.00870967741936
Singida,2018-09-01,21.152333333333335,2.35,4.437,57.574333333333335
Singida,2018-10-01,22.008709677419354,38.379999999999995,4.325806451612903,59.8716129032258
Singida,2018-11-01,22.712333333333333,90.92,3.815,63.311
Singida,2018-12-01,20.914193548387097,387.06,2.225806451612903,77.76032258064517
Singida,2019-01-01,20.490645161290324,300.29,1.729032258064516,82.51451612903226
Singida,2019-02-01,20.660714285714285,115.36,2.0175,80.90607142857142
Singida,2019-03-01,20.82225806451613,145.25,1.8787096774193548,79.16967741935484
Singida,2019-04-01,20.75133333333333,135.64000000000001,2.4226666666666667,81.964
Singida,2019-05-01,19.324193548387097,67.83,3.497741935483871,81.10709677419355
Singida,2019-06-01,18.221333333333334,2.54,2.6873333333333336,73.036
Singida,2019-07-01,18.473870967741934,0.95,3.146451612903226,66.00806451612904
Singida,2019-08-01,19.870645161290323,15.32,3.8122580645161293,61.780967741935484
Singida,2019-09-01,21.787,6.3,3.9733333333333336,56.105000000000004
Singida,2019-10-01,21.65064516129032,131.96,4.676451612903226,65.65516129032258
Singida,2019-11-01,21.921,154.38,3.1626666666666665,69.76266666666668
Singida,2019-12-01,21.00774193548387,351.28,1.9229032258064516,79.67354838709677
Singida,2020-01-01,20.536451612903225,344.65,1.8093548387096776,84.38870967741936
Singida,2020-02-01,20.8348275862069,209.47,1.563793103448276,83.71275862068966
Singida,2020-03-01,20.386451612903226,281.79,1.5206451612903227,85.87161290322581
Singida,2020-04-01,19.496333333333332,178.75,2.6636666666666664,88.51633333333332
Singida,2020-05-01,18.186451612903223,34.98,3.076774193548387,85.57451612903226
Singida,2020-06-01,16.838333333333335,9.21,3.0403333333333333,83.75866666666667
Singida,2020-07-01,16.163870967741936,18.98,3.5906451612903227,80.8016129032258
Singida,2020-08-01,17.851935483870967,2.18,3.3451612903225807,74.09709677419356
Singida,2020-09-01,19.811333333333334,3.77,3.6326666666666667,66.99066666666667
Singida,2020-10-01,21.873225806451615,22.45,3.881612903225806,59.50741935483871
Singida,2020-11-01,21.317666666666664,392.5,2.957333333333333,74.502
Singida,2020-12-01,20.883548387096774,198.51,1.6380645161290324,78.97451612903225
Singida,2021-01-01,20.279677419354837,177.02,1.5838709677419356,81.27645161290323
Singida,2021-02-01,20.35571428571429,232.29,1.5864285714285715,82.67107142857142
Singida,2021-03-01,20.126451612903224,116.37,2.071290322580645,81.51935483870967
Singida,2021-04-01,19.431,112.92,2.996666666666667,84.84866666666667
Singida,2021-05-01,18.455806451612904,70.38000000000001,2.8716129032258064,82.6774193548387
Singida,2021-06-01,17.521666666666665,0.47,3.144,75.43666666666667
Singida,2021-07-01,16.90032258064516,3.8,3.611290322580645,70.6258064516129
Singida,2021-08-01,19.203548387096774,3.08,3.724838709677419,65.11483870967741
Singida,2021-09-01,20.94066666666667,23.63,4.217666666666667,60.92266666666667
Singida,2021-10-01,22.886451612903226,11.48,3.856451612903226,55.17290322580645
Singida,2021-11-01,23.60033333333333,33.93,3.3016666666666667,52.693666666666665
Singida,2021-12-01,22.31483870967742,116.98,3.7277419354838712,67.98322580645161
Singida,2022-01-01,21.55290322580645,188.16,1.9006451612903226,71.04451612903226
